State,District,Soil_Type,Season,Water_Availability,Previous_Crop,Land_Area_Acres,Temperature_C,Rainfall_mm,Recommended_Crop,Fertilizer_N,Fertilizer_P,Fertilizer_K
Andhra Pradesh,Vizianagaram,Loam,Rabi,Medium,Soybean,1,24.4,206,Wheat,Medium,Medium,Low
Tamil Nadu,Erode,Loam,Kharif,Medium,Jowar,3,25.5,349,Rice,Low,Medium,Medium
Maharashtra,Beed,Red,Summer,Medium,Chilli,0,37.3,35,Onion,Medium,High,Medium
Tamil Nadu,Tirunelveli,Black,Kharif,Medium,Chilli,0,31.4,144,Cotton,High,Medium,High
Tamil Nadu,Tiruchirappalli,Clay,Summer,Medium,Sugarcane,5,28.9,112,Banana,High,High,High
Karnataka,Haveri,Clay,Kharif,High,Cotton,1,23.0,631,Rice,Low,High,High
Telangana,Adilabad,Black,Kharif,Low,Soybean,2,28.4,636,Cotton,High,High,High
Tamil Nadu,Tiruchirappalli,Sandy,Kharif,High,Turmeric,2,24.4,555,Rice,Low,Medium,Medium
Karnataka,Chamarajanagar,Black,Kharif,Low,Turmeric,2,21.3,346,Cotton,High,Medium,High
Tamil Nadu,Nagapattinam,Red,Summer,Low,Groundnut,2,29.9,150,Onion,Medium,High,Medium
Karnataka,Belgaum,Clay,Rabi,High,Sugarcane,2,21.4,89,Wheat,Medium,Medium,Low
Maharashtra,Nashik,Sandy,Kharif,High,Groundnut,1,21.0,648,Sugarcane,High,High,High
Tamil Nadu,Thoothukudi,Clay,Rabi,Medium,Groundnut,1,22.8,371,Wheat,Medium,High,Low
Odisha,Sambalpur,Sandy,Rabi,Low,Maize,3,23.8,76,Ragi,Low,Medium,Low
Andhra Pradesh,West Godavari,Black,Kharif,High,Bajra,1,30.4,647,Cotton,High,Medium,High
Tamil Nadu,Pudukkottai,Red,Kharif,Low,Chilli,0,27.4,541,Cotton,High,Medium,High
Telangana,Nizamabad,Loam,Kharif,Low,Maize,4,24.7,700,Cotton,High,Medium,High
Odisha,Ganjam,Clay,Rabi,High,Maize,1,23.1,79,Wheat,Low,Medium,Low
Karnataka,Chitradurga,Sandy,Kharif,High,None,4,23.9,535,Rice,Low,High,Medium
Karnataka,Bidar,Black,Kharif,Low,Cotton,1,23.5,462,Cotton,High,Medium,High
Karnataka,Mysore,Sandy,Kharif,Medium,Maize,4,24.2,434,Groundnut,Medium,Medium,Medium
Telangana,Nizamabad,Sandy,Rabi,Low,Jowar,1,22.9,63,Sunflower,Medium,Medium,Medium
Maharashtra,Ahmednagar,Red,Rabi,Medium,Soybean,1,15.7,21,Onion,Medium,High,Medium
Odisha,Ganjam,Black,Rabi,Low,Sugarcane,1,26.1,85,Jowar,Low,Medium,Low
Telangana,Hyderabad,Black,Kharif,Medium,Soybean,2,28.0,487,Cotton,High,Medium,High
Maharashtra,Parbhani,Black,Kharif,Medium,Sugarcane,4,27.0,659,Cotton,High,Medium,High
Maharashtra,Ratnagiri,Clay,Rabi,High,Soybean,2,22.1,61,Wheat,Medium,Medium,Low
Tamil Nadu,Chennai,Sandy,Rabi,High,None,2,26.2,360,Groundnut,Low,Medium,Medium
Telangana,Hyderabad,Sandy,Kharif,Medium,None,4,29.3,418,Cotton,High,High,High
Karnataka,Hassan,Black,Kharif,Medium,Jowar,5,22.6,1082,Maize,High,Low,Medium
Telangana,Bhadradri Kothagudem,Red,Kharif,Low,Bajra,2,29.6,647,Cotton,High,Medium,High
Karnataka,Dharwad,Black,Rabi,Medium,Sugarcane,1,22.7,48,Wheat,Medium,Low,Low
Telangana,Mulugu,Sandy,Summer,High,Chilli,3,34.9,48,Rice,Low,High,Medium
Tamil Nadu,Thoothukudi,Red,Kharif,Low,Rice,1,28.2,391,Groundnut,Low,High,Medium
Odisha,Balasore,Loam,Kharif,High,Cotton,4,27.0,1076,Rice,Low,High,Medium
Maharashtra,Solapur,Sandy,Kharif,High,Rice,4,24.2,303,Sugarcane,High,High,High
Tamil Nadu,Kanyakumari,Red,Summer,High,Sunflower,1,31.4,104,Sugarcane,High,High,High
Andhra Pradesh,West Godavari,Sandy,Kharif,Medium,Maize,2,32.5,881,Groundnut,Medium,Medium,Medium
Tamil Nadu,Kanyakumari,Red,Rabi,Low,Groundnut,1,23.2,427,Groundnut,Low,Medium,Medium
Tamil Nadu,Tiruchirappalli,Clay,Kharif,Low,Soybean,4,30.3,504,Turmeric,High,High,Low
Maharashtra,Sangli,Sandy,Kharif,Medium,None,1,24.5,712,Cotton,High,Medium,High
Karnataka,Mysore,Clay,Kharif,High,Jowar,2,23.5,427,Rice,Low,High,Medium
Odisha,Ganjam,Clay,Kharif,Medium,Groundnut,4,25.8,999,Rice,Low,High,High
Odisha,Dhenkanal,Black,Kharif,Medium,Sugarcane,4,24.6,922,Maize,High,Medium,Medium
Odisha,Khordha,Clay,Rabi,High,Groundnut,4,24.8,111,Wheat,Medium,Medium,Low
Maharashtra,Jalgaon,Loam,Summer,Low,Chilli,1,35.9,45,Onion,Medium,High,Medium
Telangana,Siddipet,Red,Kharif,Low,Groundnut,1,25.1,917,Maize,Medium,Medium,Medium
Maharashtra,Satara,Black,Kharif,High,None,3,25.3,587,Cotton,High,Medium,High
Odisha,Jajpur,Sandy,Kharif,High,None,1,31.5,1131,Rice,Low,High,Medium
Karnataka,Dharwad,Clay,Rabi,Medium,Soybean,3,23.5,60,Wheat,Medium,Medium,Low
Tamil Nadu,Namakkal,Red,Kharif,Medium,Jowar,3,28.4,484,Groundnut,Low,Medium,High
Andhra Pradesh,Kurnool,Red,Summer,Low,None,1,40.1,40,Onion,Medium,High,Medium
Tamil Nadu,Madurai,Clay,Rabi,High,Soybean,1,21.5,227,Wheat,Medium,Medium,Low
Tamil Nadu,Kanyakumari,Loam,Summer,Low,Soybean,1,32.5,142,Banana,High,High,High
Tamil Nadu,Tirunelveli,Sandy,Rabi,Medium,Rice,6,25.0,350,Groundnut,Low,Medium,Medium
Andhra Pradesh,Prakasam,Black,Kharif,Low,Cotton,2,29.0,574,Cotton,High,Medium,High
Telangana,Hyderabad,Red,Summer,High,Soybean,2,36.8,59,Rice,Low,High,Medium
Telangana,Siddipet,Loam,Kharif,High,Rice,1,31.2,572,Rice,Low,High,Medium
Odisha,Boudh,Black,Kharif,Low,Rice,4,25.0,989,Cotton,High,Medium,Medium
Karnataka,Raichur,Black,Rabi,Medium,None,2,24.4,51,Wheat,Medium,Medium,Low
Tamil Nadu,Tirunelveli,Loam,Kharif,Low,Rice,1,28.0,356,Groundnut,Low,Medium,Medium
Tamil Nadu,Thoothukudi,Red,Rabi,Medium,None,4,26.9,306,Ragi,Low,Medium,Low
Karnataka,Bidar,Black,Kharif,Low,None,7,22.3,654,Cotton,High,Medium,High
Telangana,Nalgonda,Loam,Rabi,High,Jowar,1,20.0,30,Wheat,Medium,Medium,Low
Andhra Pradesh,West Godavari,Black,Rabi,Medium,Sugarcane,2,21.8,147,Wheat,Medium,Medium,Low
Andhra Pradesh,West Godavari,Black,Kharif,Low,Groundnut,4,26.8,548,Cotton,High,Medium,High
Maharashtra,Pune,Red,Summer,Low,Bajra,2,29.5,77,Onion,Medium,High,Medium
Andhra Pradesh,Anantapur,Sandy,Kharif,Low,Maize,2,26.5,231,Bajra,Medium,Medium,Low
Andhra Pradesh,Nellore,Black,Kharif,Medium,Rice,7,28.6,809,Cotton,High,Medium,High
Andhra Pradesh,YSR Kadapa,Red,Kharif,Low,Sugarcane,2,32.6,385,Groundnut,Low,Medium,Medium
Karnataka,Hassan,Black,Rabi,Low,None,3,17.4,89,Jowar,Low,Medium,Low
Telangana,Khammam,Red,Kharif,Low,Cotton,5,25.9,975,Cotton,High,Low,High
Maharashtra,Satara,Clay,Kharif,Low,Rice,5,21.7,729,Cotton,High,Low,High
Karnataka,Tumkur,Black,Kharif,Medium,Rice,3,21.3,328,Cotton,High,Medium,High
Maharashtra,Nanded,Loam,Rabi,High,Jowar,0,21.0,51,Wheat,Medium,Medium,Medium
Telangana,Nirmal,Loam,Kharif,Medium,None,3,26.2,838,Cotton,High,Medium,High
Tamil Nadu,Karur,Loam,Kharif,High,Rice,1,25.0,504,Rice,Low,High,Medium
Telangana,Narayanpet,Red,Kharif,Medium,Groundnut,2,27.8,623,Cotton,High,Medium,High
Maharashtra,Nashik,Sandy,Kharif,High,None,2,23.3,726,Sugarcane,High,High,High
Telangana,Narayanpet,Loam,Kharif,Low,Jowar,4,25.0,556,Cotton,High,Medium,High
Andhra Pradesh,Krishna,Clay,Kharif,Medium,Chilli,2,28.1,490,Cotton,Medium,Medium,High
Karnataka,Bellary,Black,Kharif,Medium,None,0,26.5,421,Cotton,High,Medium,High
Maharashtra,Kolhapur,Clay,Kharif,High,Banana,3,23.9,773,Rice,Low,High,Medium
Tamil Nadu,Perambalur,Black,Rabi,Medium,Soybean,1,22.1,229,Wheat,Medium,Medium,Low
Telangana,Medchal Malkajgiri,Loam,Rabi,Low,None,2,23.6,62,Wheat,High,Medium,Low
Telangana,Mulugu,Loam,Summer,High,Soybean,1,34.8,65,Banana,High,High,High
Tamil Nadu,Theni,Clay,Kharif,Medium,Groundnut,0,25.8,393,Turmeric,High,Medium,Low
Maharashtra,Nanded,Loam,Kharif,Low,Soybean,2,27.2,347,Cotton,High,Medium,High
Odisha,Jajpur,Black,Rabi,Low,Groundnut,3,23.7,131,Jowar,Low,Low,Low
Tamil Nadu,Madurai,Black,Summer,Medium,Jowar,2,31.6,155,Onion,Medium,High,Medium
Karnataka,Chitradurga,Loam,Rabi,Low,Groundnut,2,17.6,100,Wheat,Medium,Medium,Low
Tamil Nadu,Nagapattinam,Clay,Kharif,High,Jowar,2,26.6,945,Rice,Low,High,High
Karnataka,Bellary,Loam,Summer,Low,Rice,3,36.4,30,Maize,High,Medium,Medium
Andhra Pradesh,YSR Kadapa,Red,Summer,Low,Sugarcane,1,34.5,63,Onion,High,High,Medium
Telangana,Suryapet,Clay,Rabi,High,Bajra,2,25.0,39,Turmeric,High,High,Low
Maharashtra,Akola,Red,Kharif,High,Maize,4,30.8,625,Cotton,High,Medium,High
Karnataka,Hassan,Clay,Kharif,High,Jowar,6,22.6,949,Rice,Low,High,Medium
Andhra Pradesh,Kurnool,Red,Rabi,High,Soybean,5,27.2,58,Sunflower,Medium,Medium,Medium
Andhra Pradesh,East Godavari,Loam,Kharif,Low,Chilli,2,22.0,905,Rice,Low,High,Medium
Telangana,Jagtial,Clay,Rabi,Medium,Cotton,3,25.6,56,Turmeric,High,High,Low
Odisha,Bhadrak,Sandy,Rabi,Medium,Groundnut,3,24.9,173,Wheat,Medium,Medium,Low
Karnataka,Davangere,Red,Summer,Low,Groundnut,7,29.7,99,Onion,Medium,High,Medium
Tamil Nadu,Thoothukudi,Loam,Kharif,Low,Maize,1,32.9,201,Banana,High,High,High
Maharashtra,Jalgaon,Sandy,Kharif,Medium,Sugarcane,1,24.9,581,Cotton,High,Medium,High
Odisha,Angul,Black,Kharif,Medium,Chilli,3,24.6,917,Maize,High,Medium,Medium
Tamil Nadu,Tiruchirappalli,Clay,Kharif,High,Cotton,5,32.0,352,Banana,High,High,High
Telangana,Karimnagar,Sandy,Kharif,High,Maize,3,29.2,815,Rice,Low,High,Medium
Andhra Pradesh,Kurnool,Clay,Rabi,High,Sugarcane,3,24.3,58,Rice,Low,High,Medium
Odisha,Dhenkanal,Sandy,Kharif,High,Chilli,1,29.1,1289,Rice,Low,High,Medium
Andhra Pradesh,Vizianagaram,Red,Kharif,Low,None,3,25.5,857,Cotton,High,Medium,High
Andhra Pradesh,Vizianagaram,Clay,Summer,Low,Chilli,3,34.2,163,Banana,High,High,High
Tamil Nadu,Salem,Sandy,Kharif,Low,Sunflower,3,26.1,412,Groundnut,Low,Medium,Low
Tamil Nadu,Coimbatore,Loam,Kharif,Low,Onion,1,26.4,428,Cotton,High,Low,Medium
Telangana,Warangal Rural,Sandy,Summer,Medium,Rice,2,35.1,48,Maize,High,Low,Medium
Telangana,Vikarabad,Sandy,Kharif,High,Ragi,1,31.4,641,Rice,Low,High,Medium
Karnataka,Koppal,Clay,Summer,High,Maize,1,35.5,47,Rice,Low,High,Medium
Tamil Nadu,Thoothukudi,Sandy,Kharif,Medium,Jowar,1,30.1,326,Groundnut,Low,Medium,Medium
Odisha,Bargarh,Sandy,Kharif,High,None,1,29.5,1238,Rice,Low,High,Medium
Karnataka,Mysore,Clay,Kharif,Medium,None,2,25.8,542,Cotton,High,Low,High
Karnataka,Chitradurga,Sandy,Rabi,Low,Rice,2,26.0,54,Sunflower,Medium,Medium,High
Odisha,Dhenkanal,Loam,Rabi,Medium,Banana,5,21.4,91,Wheat,Medium,Medium,Low
Karnataka,Kolar,Loam,Kharif,Low,Rice,1,27.1,415,Cotton,Medium,Medium,Medium
Tamil Nadu,Pudukkottai,Clay,Rabi,Low,Cotton,3,23.0,363,Wheat,Medium,Medium,Low
Andhra Pradesh,Tirupati,Loam,Summer,Low,Chilli,3,34.4,84,Banana,High,High,High
Odisha,Angul,Black,Rabi,Low,None,0,22.3,88,Jowar,Low,Medium,Low
Maharashtra,Beed,Sandy,Rabi,High,Rice,2,23.1,34,Wheat,Medium,Medium,Low
Andhra Pradesh,Kurnool,Loam,Summer,Medium,Soybean,3,33.8,44,Banana,High,High,High
Maharashtra,Parbhani,Red,Kharif,Low,Cotton,9,27.9,591,Cotton,Medium,Low,High
Odisha,Angul,Sandy,Kharif,Medium,None,2,30.0,726,Maize,High,High,Low
Telangana,Peddapalli,Black,Kharif,High,Groundnut,9,29.8,712,Cotton,High,Medium,High
Andhra Pradesh,YSR Kadapa,Loam,Kharif,High,None,1,30.0,516,Rice,Low,High,Medium
Tamil Nadu,Theni,Clay,Kharif,High,Chilli,2,23.4,241,Rice,Low,High,Medium
Maharashtra,Nanded,Clay,Kharif,High,Cotton,1,25.9,580,Rice,Low,High,Medium
Telangana,Warangal Urban,Red,Kharif,Low,Groundnut,0,26.3,921,Cotton,High,Medium,High
Maharashtra,Nanded,Sandy,Kharif,Medium,None,2,29.0,757,Cotton,Medium,Medium,High
Maharashtra,Beed,Loam,Summer,Low,Chilli,4,35.2,22,Onion,Medium,Medium,High
Tamil Nadu,Coimbatore,Loam,Rabi,High,Groundnut,2,21.5,145,Wheat,Medium,Medium,Low
Tamil Nadu,Cuddalore,Clay,Rabi,High,Rice,2,25.8,231,Turmeric,High,High,Low
Maharashtra,Nashik,Black,Summer,Low,Maize,3,31.2,55,Onion,Medium,High,High
Maharashtra,Satara,Clay,Rabi,Medium,None,2,22.1,34,Wheat,Medium,Low,Low
Andhra Pradesh,Krishna,Sandy,Kharif,Medium,Rice,1,27.8,785,Groundnut,Low,Low,Medium
